"basin","stream_order","reachid","absolute_cv","basin_cv","cv_ratio_to_basin","anomaly_pct"
"Kuskokwim",3,8446,0.323245936016655,0.244254784482295,1.32339653735661,32.3396537356614
"Kuskokwim",3,8453,0.277148883199092,0.244254784482295,1.13467125643626,13.4671256436256
"Kuskokwim",3,8505,0.33080490218273,0.244254784482295,1.35434359201553,35.4343592015528
"Kuskokwim",3,8645,0.263947425747992,0.244254784482295,1.08062335936402,8.06233593640193
"Kuskokwim",3,8720,0.177073853516569,0.244254784482295,0.724955516805464,-27.5044483194536
"Kuskokwim",3,8728,0.240392142957309,0.244254784482295,0.98418601488944,-1.581398511056
"Kuskokwim",3,8740,0.186788897199078,0.244254784482295,0.764729737413262,-23.5270262586738
"Kuskokwim",3,8843,0.267317937943474,0.244254784482295,1.09442252486502,9.4422524865019
"Kuskokwim",3,8875,0.278102663751393,0.244254784482295,1.13857611567708,13.8576115677078
"Kuskokwim",3,8883,0.266796357696473,0.244254784482295,1.09228713067773,9.22871306777304
"Kuskokwim",3,8889,0.338223008085058,0.244254784482295,1.38471395269465,38.4713952694649
"Kuskokwim",3,8959,0.194094053948152,0.244254784482295,0.794637674588607,-20.5362325411393
"Kuskokwim",3,8977,0.174957788539347,0.244254784482295,0.716292165617863,-28.3707834382137
"Kuskokwim",3,9071,0.315175729058725,0.244254784482295,1.29035641912501,29.0356419125009
"Kuskokwim",3,9104,0.314239351457805,0.244254784482295,1.28652280905713,28.6522809057128
"Kuskokwim",3,9167,0.323416045424001,0.244254784482295,1.32409297983452,32.4092979834524
"Kuskokwim",3,9300,0.251416824676199,0.244254784482295,1.02932200574529,2.9322005745291
"Kuskokwim",3,9307,0.234613191711796,0.244254784482295,0.96052649371461,-3.94735062853899
"Kuskokwim",3,9310,0.254991656197326,0.244254784482295,1.04395767205866,4.39576720586614
"Kuskokwim",3,9329,0.335573282597678,0.244254784482295,1.37386574968812,37.386574968812
"Kuskokwim",3,9387,0.310959824317006,0.244254784482295,1.27309614415985,27.3096144159855
"Kuskokwim",3,9402,0.299000521616859,0.244254784482295,1.22413373498742,22.413373498742
"Kuskokwim",3,9432,0.32120113728933,0.244254784482295,1.31502495629768,31.5024956297684
"Kuskokwim",3,9451,0.31856035641071,0.244254784482295,1.30421337328523,30.4213373285227
"Kuskokwim",3,9552,0.319198834555381,0.244254784482295,1.30682735747401,30.682735747401
"Kuskokwim",3,9630,0.308072929934278,0.244254784482295,1.26127695139011,26.1276951390112
"Kuskokwim",3,9924,0.320087506919098,0.244254784482295,1.31046565821641,31.0465658216412
"Kuskokwim",3,9982,0.322277946139612,0.244254784482295,1.31943350392374,31.943350392374
"Kuskokwim",3,10046,0.273328044107663,0.244254784482295,1.11902841406767,11.9028414067673
"Kuskokwim",3,10076,0.317757869803571,0.244254784482295,1.30092792440921,30.092792440921
"Kuskokwim",3,10078,0.291498692820733,0.244254784482295,1.193420605613,19.3420605612998
"Kuskokwim",3,10158,0.239415295580281,0.244254784482295,0.980186718093277,-1.98132819067233
"Kuskokwim",3,10175,0.245360158756957,0.244254784482295,1.00452549691915,0.452549691915149
"Kuskokwim",3,10202,0.269468014340819,0.244254784482295,1.10322512171855,10.3225121718553
"Kuskokwim",3,10328,0.231605829187415,0.244254784482295,0.948214094058836,-5.17859059411642
